Timestamp,ServiceID,Pseudonym,Longitude,Latitude,Width,Length,Speed,Heading
200,85,16,-16450,5310,62,1023,945,900
400,85,16,-16280,5310,62,1023,952,900
400,155,86,-16450,5600,62,1023,1000,900
600,85,16,-16110,5310,62,1023,989,900
600,155,86,-16270,5600,62,1023,1000,900
800,85,16,-15930,5310,62,1023,998,900
800,155,86,-16090,5600,62,1023,997,900
1000,155,86,-15910,5600,62,1023,995,900
1300,85,16,-15480,5310,62,1023,999,900
1500,155,86,-15470,5600,62,1023,994,900
1800,85,16,-15040,5310,62,1023,982,900
2000,155,86,-15020,5600,62,1023,982,900
2200,225,156,-16450,5310,62,1023,974,900
2200,295,226,-16450,5600,62,1023,937,900
2300,85,16,-14600,5310,62,1023,988,900
2400,225,156,-16270,5310,62,1023,977,900
2400,295,226,-16300,5600,62,1023,847,900
2500,155,86,-14580,5600,62,1023,983,900
2600,225,156,-16100,5310,62,1023,990,900
2600,295,226,-16160,5600,62,1023,757,900
2800,225,156,-15920,5310,62,1023,999,900
2800,295,226,-16030,5600,62,1023,667,900
2800,85,16,-14150,5310,62,1023,992,900
3000,295,226,-15910,5600,62,1023,691,900
3000,155,86,-14140,5600,62,1023,978,900
3200,295,226,-15790,5600,62,1023,703,900
3300,225,156,-15480,5310,62,1023,997,900
3300,85,846930886,-13710,5310,62,1023,982,900
3400,295,226,-15670,5600,62,1023,663,900
3500,155,1714636915,-13690,5600,62,1023,989,900
3800,225,156,-15030,5310,62,1023,994,900
3800,85,846930886,-13270,5310,62,1023,995,900
3900,295,226,-15350,5600,62,1023,717,900
4000,155,1714636915,-13250,5600,62,1023,982,900
4300,225,156,-14590,5310,62,1023,979,900
4300,295,226,-15110,5600,62,1023,664,900
4300,85,846930886,-12830,5310,62,1023,999,900
4500,155,1714636915,-12810,5600,62,1023,998,900
4700,295,226,-14860,5600,62,1023,702,900
4800,225,156,-14150,5310,62,1023,988,900
4800,85,846930886,-12380,5310,62,1023,982,900
5000,155,1714636915,-12360,5600,62,1023,985,900
5100,225,156,-13880,5600,62,1023,980,900
5100,295,226,-14610,5600,62,1023,666,900
5300,85,846930886,-11940,5310,62,1023,998,900
5400,225,424238335,-13610,5600,62,1023,980,900
5500,295,226,-14380,5600,62,1023,677,900
5500,155,1714636915,-11920,5600,62,1023,984,900
5700,225,424238335,-13350,5600,62,1023,977,900
5800,85,846930886,-11500,5310,62,1023,993,900
6000,225,424238335,-13080,5600,62,1023,998,900
6000,155,1714636915,-11480,5600,62,1023,979,900
6100,295,226,-13990,5600,62,1023,729,900
6200,365,296,-16540,5310,62,1023,25,900
6300,85,846930886,-11050,5310,62,1023,987,900
6400,365,296,-16530,5310,62,1023,71,900
6500,225,424238335,-12640,5600,62,1023,989,900
6500,295,1649760492,-13720,5600,62,1023,786,900
6500,155,1714636915,-11030,5600,62,1023,981,900
6600,365,296,-16510,5310,62,1023,110,900
6800,365,296,-16480,5310,62,1023,155,900
6800,85,846930886,-10610,5310,62,1023,980,900
6900,295,1649760492,-13430,5600,62,1023,808,900
7000,225,424238335,-12190,5600,62,1023,998,900
7000,155,1714636915,-10590,5600,62,1023,987,900
7100,365,296,-16430,5310,62,1023,208,900
7300,365,296,-16390,5310,62,1023,258,900
7300,295,1649760492,-13130,5600,62,1023,845,900
7300,85,846930886,-10160,5310,62,1023,982,900
7500,365,296,-16340,5310,62,1023,282,900
7500,225,424238335,-11750,5600,62,1023,987,900
7500,155,1714636915,-10140,5600,62,1023,997,900
7700,365,296,-16290,5310,62,1023,299,900
7700,295,1649760492,-12830,5600,62,1023,850,900
7800,85,846930886,-9720,5310,62,1023,977,900
7900,365,296,-16230,5310,62,1023,340,900
8000,225,424238335,-11310,5600,62,1023,997,900
8000,155,1714636915,-9700,5600,62,1023,990,900
8200,295,1649760492,-12440,5600,62,1023,895,900
8300,85,846930886,-9280,5310,62,1023,987,900
8500,365,296,-16030,5310,62,1023,394,900
8500,225,424238335,-10860,5600,62,1023,982,900
8500,155,1714636915,-9260,5600,62,1023,993,900
8700,295,1649760492,-12040,5600,62,1023,903,900
8800,85,846930886,-8830,5310,62,1023,977,900
9000,365,296,-15830,5310,62,1023,444,900
9000,225,424238335,-10420,5600,62,1023,988,900
9000,155,1714636915,-8820,5600,62,1023,977,900
9200,295,1649760492,-11630,5600,62,1023,908,900
9300,85,846930886,-8390,5310,62,1023,990,900
9400,365,296,-15660,5310,62,1023,498,900
9500,225,424238335,-9980,5600,62,1023,1000,900
9500,155,1714636915,-8370,5600,62,1023,997,900
9700,295,1649760492,-11220,5600,62,1023,918,900
9800,365,296,-15470,5310,62,1023,546,900
9800,85,846930886,-7950,5310,62,1023,981,900
10000,225,424238335,-9540,5600,62,1023,978,900
10000,155,1714636915,-7930,5600,62,1023,999,900
10100,365,296,-15310,5310,62,1023,605,900
10200,295,1649760492,-10810,5600,62,1023,933,900
10200,435,366,3420,17500,62,1023,1113,1797
10300,85,846930886,-7500,5310,62,1023,991,900
10300,435,366,3420,17410,62,1023,1023,1797
10400,365,296,-15140,5310,62,1023,637,900
10400,435,366,3420,17320,62,1023,1000,1797
10500,225,424238335,-9090,5600,62,1023,998,900
10500,155,1714636915,-7480,5600,62,1023,987,900
10500,435,366,3420,17230,62,1023,992,1797
10600,435,366,3420,17140,62,1023,987,1797
10700,365,296,-14960,5310,62,1023,676,900
10700,295,1649760492,-10390,5600,62,1023,947,900
10800,85,846930886,-7060,5310,62,1023,987,900
11000,365,296,-14780,5310,62,1023,708,900
11000,225,424238335,-8650,5600,62,1023,979,900
11000,295,1649760492,-10140,5310,62,1023,951,900
11000,155,1714636915,-7040,5600,62,1023,986,900
11100,435,366,3430,16690,62,1023,1000,1797
11200,505,436,17990,6180,62,1023,964,2700
11300,295,1649760492,-9870,5310,62,1023,990,900
11300,85,846930886,-6610,5310,62,1023,975,900
11400,505,436,17810,6180,62,1023,977,2700
11500,365,296,-14440,5310,62,1023,766,900
11500,225,424238335,-8210,5600,62,1023,992,900
11500,155,1189641421,-6590,5600,62,1023,975,900
11600,295,1649760492,-9610,5310,62,1023,986,900
11600,435,366,3430,16250,62,1023,986,1797
11600,505,436,17640,6180,62,1023,999,2700
11800,85,1350490027,-6170,5310,62,1023,981,900
11800,505,436,17460,6180,62,1023,977,2700
11900,295,1649760492,-9340,5310,62,1023,996,900
12000,365,296,-14090,5310,62,1023,796,900
12000,225,424238335,-7770,5600,62,1023,977,900
12000,155,1189641421,-6150,5600,62,1023,977,900
